,year,month,day,hour,V,Verr,N,Nerr,S,Serr,E,Eerr,W,Werr,NE,NEerr,SE,SEerr,NW,NWerr,SW,SWerr,N2,N2err,S2,S2err,E2,E2err,W2,W2err,N3,N3err,S3,S3err,E3,E3err,W3,W3err,Pres.,TIME
72,2018,1,4,0,2536680,1597,892845,947,919574,962,1126503,1064,1213392,1105,445762,669,462855,682,498231,708,533829,732,259267,510,281716,532,351815,594,403361,637,41449,204,42811,207,87138,296,105921,326,955.351,2018-01-04 00:30:00
73,2018,1,4,1,2536302,1598,893289,948,919885,962,1126517,1064,1213753,1105,446292,670,462914,682,498526,708,533289,732,259552,511,282884,533,351466,594,401503,635,41789,205,43426,209,86618,295,106404,327,955.936,2018-01-04 01:30:00
74,2018,1,4,2,2533690,1597,892746,948,918365,961,1127881,1065,1211742,1104,446627,670,461451,681,497231,707,532587,732,259985,511,282144,533,352043,595,402277,636,41844,205,43493,209,87050,296,106256,327,956.028,2018-01-04 02:30:00
75,2018,1,4,3,2535485,1597,893862,948,918398,961,1129104,1065,1212705,1105,446734,670,461755,681,496134,706,533340,732,259508,511,282119,532,352351,595,402658,636,42254,206,43515,209,86885,295,106419,327,955.768,2018-01-04 03:30:00
76,2018,1,4,4,2536102,1597,891574,947,916522,960,1128696,1065,1213891,1105,447466,670,462851,682,497246,707,532348,731,259566,511,282743,533,351631,594,403364,637,41870,205,43602,209,86692,295,106837,327,955.216,2018-01-04 04:30:00
77,2018,1,4,5,2535319,1597,893607,948,918101,961,1130151,1065,1211964,1104,446874,670,462765,682,498408,708,533224,732,260097,511,282765,533,352728,595,402808,636,42442,206,43254,208,87146,296,106299,327,954.972,2018-01-04 05:30:00
78,2018,1,4,6,2536825,1597,895027,948,916729,960,1128369,1065,1213239,1104,447556,670,463169,682,497972,707,531760,731,260787,512,283108,533,351948,594,403390,637,42127,205,43461,209,86803,295,106148,326,954.972,2018-01-04 06:30:00
79,2018,1,4,7,2537162,1597,896521,949,918848,961,1128334,1065,1211672,1104,447622,671,463533,682,498396,708,534080,733,259719,511,282364,533,352349,595,403253,637,42223,206,43397,209,87224,296,106504,327,955.309,2018-01-04 07:30:00
80,2018,1,4,8,2537122,1598,896289,950,917991,961,1131782,1067,1213210,1105,446672,670,464263,683,499153,709,534686,733,260800,512,282644,533,352405,595,402617,636,42393,206,43802,210,86681,295,106638,327,955.981,2018-01-04 08:30:00
81,2018,1,4,9,2537788,1599,897461,951,920457,963,1129229,1066,1209676,1104,446817,670,463508,683,499485,709,534384,733,260945,512,283743,534,351811,595,402011,636,41748,205,43195,208,87363,296,106115,327,956.787,2018-01-04 09:30:00
